a,b,p,p_holm,signif,cohens_h
Qwen2.5-Coder-7B-Instruct,deepseek-coder-6.7b-instruct,0.8897069355331011,1.0,False,0.022798974920032133
Qwen2.5-Coder-7B-Instruct,Yi-Coder-9B-Chat,0.6650055421020291,1.0,False,0.04532441388685182
Qwen2.5-Coder-7B-Instruct,granite-8b-code-instruct-128k,0.04994997645474623,0.34964983518322357,False,0.165172855406986
Qwen2.5-Coder-7B-Instruct,Phi-3.5-mini-instruct,0.0013318368153214166,0.013318368153214166,True,0.24906755002567893
deepseek-coder-6.7b-instruct,Yi-Coder-9B-Chat,0.882783191152826,1.0,False,0.02252543896681969
deepseek-coder-6.7b-instruct,granite-8b-code-instruct-128k,0.11196135426374809,0.6717681255824886,False,0.14237388048695387
deepseek-coder-6.7b-instruct,Phi-3.5-mini-instruct,0.009220239891422581,0.08298215902280323,False,0.2262685751056468
Yi-Coder-9B-Chat,granite-8b-code-instruct-128k,0.20771208572755318,1.0,False,0.11984844152013419
Yi-Coder-9B-Chat,Phi-3.5-mini-instruct,0.015219241743104685,0.12175393394483748,False,0.2037431361388271
granite-8b-code-instruct-128k,Phi-3.5-mini-instruct,0.3661565601940605,1.0,False,0.08389469461869292
